bbl,bin,address_or_label,zipcode,residential_use_type,land_use,building_class,residential_units,residential_capacity_units,total_units,residential_floor_area,estimated_household_capacity,under5_capacity_signal,preschool_age_capacity_signal,hgl_building_opportunity_score,capacity_model_confidence,capacity_model_method,non_residential_flag,mixed_use_flag
1004890036,1007367,59 THOMPSON STREET,10012,Mixed-use,Mixed residential/commercial,C7,34,34,36,14418.0,34,1.588,1.588,4.93,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
1005780064,1009727,32 DOMINICK STREET,10013,Residential,Residential one/two family,A4,1,1,1,2732.0,1,0.082,0.082,1.64,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,False
1004910029,1007382,556 BROOME STREET,10013,Commercial/office,Commercial/office,O5,0,0,1,0.0,0,0.0,0.0,0.0,None,PLUTO/MapPLUTO or land-use classifies this as non-residential; residential capacity set to 0.,True,False
1004890018,1007354,196 SPRING STREET,10012,Mixed-use,Mixed residential/commercial,C7,22,22,25,13964.0,22,1.028,1.028,4.41,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
1005040043,1007816,207 SPRING STREET,10013,Commercial/office,Commercial/office,O9,0,0,2,0.0,0,0.0,0.0,0.0,None,PLUTO/MapPLUTO or land-use classifies this as non-residential; residential capacity set to 0.,True,False
1004890004,1007343,61 SULLIVAN STREET,10012,Mixed-use,Mixed residential/commercial,S4,4,4,5,4379.0,4,0.187,0.187,2.91,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
1005780071,1090671,111 VARICK STREET,10013,Mixed-use,Residential multi-family elevator,D8,101,101,102,120069.0,101,8.258,8.258,8.12,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
1005040039,1007815,203 SPRING STREET,10012,Mixed-use,Residential multi-family walk-up,C6,17,17,20,10972.0,17,0.794,0.794,4.14,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
1004890014,1007351,83 SULLIVAN STREET,10012,Residential,Residential multi-family walk-up,C0,3,3,3,2660.0,3,0.14,0.14,1.91,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,False
1002280025,1002965,59 GRAND STREET,10013,Mixed residential/commercial,Mixed residential/commercial,K4,0,0,4,0.0,0,0.0,0.0,0.0,None,PLUTO/MapPLUTO or land-use classifies this as non-residential; residential capacity set to 0.,True,False
1005030001,1007775,97 SULLIVAN STREET,10012,Mixed-use,Mixed residential/commercial,C7,8,8,9,4815.0,8,0.374,0.374,3.45,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
1002270016,1002942,35 GRAND STREET,10013,Mixed-use,Residential multi-family elevator,D5,10,10,12,7893.0,10,0.818,0.818,4.06,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
1005030045,1007797,195 SPRING STREET,10012,Mixed-use,Mixed residential/commercial,C7,25,25,27,14724.0,25,1.168,1.168,4.56,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
1004890007,1007346,67 SULLIVAN STREET,10012,Residential,Residential multi-family walk-up,C1,12,12,12,9110.0,12,0.561,0.561,3.0,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,False
1002200029,1002849,19 VESTRY STREET,10013,Residential,Residential multi-family walk-up,C2,5,5,5,7120.0,5,0.409,0.409,2.64,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,False
1004750028,1077733,64 GRAND STREET,10013,Mixed-use,Residential multi-family elevator,D0,22,22,24,42925.0,22,1.799,1.799,4.97,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
1002290020,1077455,71 GRAND STREET,10013,Mixed-use,Residential multi-family elevator,D4,12,12,12,32938.0,12,0.981,0.981,4.25,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
