bbl,bin,address_or_label,zipcode,residential_use_type,residential_units,residential_capacity_units,estimated_household_capacity,under5_capacity_signal,under5_capacity_share,preschool_age_capacity_signal,capacity_model_confidence,data_tier,truthfulness_caveat
1004890036,1007367,59 THOMPSON STREET,10012,Mixed-use,34,34,34,1.588,0.0467,1.588,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1005780064,1009727,32 DOMINICK STREET,10013,Residential,1,1,1,0.082,0.082,0.082,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004910029,1007382,556 BROOME STREET,10013,Commercial/office,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004890018,1007354,196 SPRING STREET,10012,Mixed-use,22,22,22,1.028,0.0467,1.028,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1005040043,1007816,207 SPRING STREET,10013,Commercial/office,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004890004,1007343,61 SULLIVAN STREET,10012,Mixed-use,4,4,4,0.187,0.0467,0.187,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1005780071,1090671,111 VARICK STREET,10013,Mixed-use,101,101,101,8.258,0.0818,8.258,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1005040039,1007815,203 SPRING STREET,10012,Mixed-use,17,17,17,0.794,0.0467,0.794,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004890014,1007351,83 SULLIVAN STREET,10012,Residential,3,3,3,0.14,0.0467,0.14,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1002280025,1002965,59 GRAND STREET,10013,Mixed residential/commercial,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1005030001,1007775,97 SULLIVAN STREET,10012,Mixed-use,8,8,8,0.374,0.0467,0.374,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1002270016,1002942,35 GRAND STREET,10013,Mixed-use,10,10,10,0.818,0.0818,0.818,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1005030045,1007797,195 SPRING STREET,10012,Mixed-use,25,25,25,1.168,0.0467,1.168,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004890007,1007346,67 SULLIVAN STREET,10012,Residential,12,12,12,0.561,0.0468,0.561,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1002200029,1002849,19 VESTRY STREET,10013,Residential,5,5,5,0.409,0.0818,0.409,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004750028,1077733,64 GRAND STREET,10013,Mixed-use,22,22,22,1.799,0.0818,1.799,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1002290020,1077455,71 GRAND STREET,10013,Mixed-use,12,12,12,0.981,0.0818,0.981,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004760042,1007105,23 THOMPSON STREET,10013,Mixed-use,28,28,28,2.289,0.0818,2.289,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004910026,1007379,550 BROOME STREET,10013,Residential,18,18,18,1.472,0.0818,1.472,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004750028,1077730,64 GRAND STREET,10013,Mixed-use,22,22,22,1.799,0.0818,1.799,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004890035,1007366,63 THOMPSON STREET,10012,Mixed-use,21,21,21,0.981,0.0467,0.981,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004900027,1089766,50 SULLIVAN STREET,10013,Residential,1,1,1,0.082,0.082,0.082,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004750003,1007057,341 WEST BROADWAY,10013,Commercial/office,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004880003,1087362,60 THOMPSON STREET,10012,Commercial/office,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1005940071,1010305,38 RENWICK STREET,10013,Mixed-use,1,1,1,0.082,0.082,0.082,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004760015,1007099,110 AVENUE OF THE AMER,10013,Mixed-use,30,30,30,2.453,0.0818,2.453,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1002280003,1002955,361 CANAL STREET,10013,Mixed-use,4,4,4,0.327,0.0818,0.327,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1002210001,1002853,VESTRY STREET,10013,Transportation/utility,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1005790011,1009739,278 SPRING STREET,10013,Public facility/institution,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004760045,1077735,30 GRAND STREET,10013,Mixed-use,40,40,40,3.271,0.0818,3.271,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004890033,1007364,67 THOMPSON STREET,10012,Residential,24,24,24,1.121,0.0467,1.121,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004890031,1007363,71 THOMPSON STREET,10012,Residential,21,21,21,0.981,0.0467,0.981,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004880040,1007341,514 BROOME STREET,10013,Residential,2,2,2,0.164,0.082,0.164,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004760019,1007100,116 AVENUE OF THE AMER,10013,Mixed-use,35,35,35,2.862,0.0818,2.862,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004760070,1079918,1 WATTS STREET,10013,Mixed-use,4,4,4,0.327,0.0818,0.327,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1002290036,1002979,15 GREENE STREET,10013,Mixed-use,9,9,9,0.736,0.0818,0.736,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1002200031,1002850,174 HUDSON STREET,10013,Commercial/office,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004900030,1089763,20 SULLIVAN STREET,10012,Residential,1,1,1,0.047,0.047,0.047,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1005030043,1007795,191 SPRING STREET,10012,Mixed-use,2,2,2,0.093,0.0465,0.093,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004890009,1007348,73 SULLIVAN STREET,10012,Mixed-use,11,11,11,0.514,0.0467,0.514,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004750028,1077732,64 GRAND STREET,10013,Mixed-use,22,22,22,1.799,0.0818,1.799,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004760089,1007117,36 GRAND STREET,10013,Residential,1,1,1,0.082,0.082,0.082,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1002200027,1002847,36 LAIGHT STREET,10013,Residential,14,14,14,1.145,0.0818,1.145,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004760023,1007102,521 BROOME STREET,10013,Residential,5,5,5,0.409,0.0818,0.409,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1002120018,1002735,52 VARICK STREET,10013,Commercial/office,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1002290020,1077454,71 GRAND STREET,10013,Mixed-use,12,12,12,0.981,0.0818,0.981,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1002200026,1002846,34 LAIGHT STREET,10013,Mixed-use,9,9,9,0.736,0.0818,0.736,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004880039,1007340,512 BROOME STREET,10013,Commercial/office,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1002290032,1002977,23 GREENE STREET,10013,Mixed-use,5,5,5,0.409,0.0818,0.409,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1005780079,1009734,576 BROOME STREET,10013,Residential,4,4,4,0.327,0.0818,0.327,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1005030044,1007796,193 SPRING STREET,10012,Mixed-use,4,4,4,0.187,0.0467,0.187,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1002270022,1002945,47 GRAND STREET,10013,Commercial/office,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1002290020,1077456,71 GRAND STREET,10013,Mixed-use,12,12,12,0.981,0.0818,0.981,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004760085,1077729,44 GRAND STREET,10013,Mixed-use,16,16,16,1.308,0.0818,1.308,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1005940104,1090603,229 HUDSON STREET,10013,Commercial/office,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1002270007,1002940,393 CANAL STREET,10013,Commercial/office,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1005790030,1009740,131 VARICK STREET,10013,Industrial/manufacturing,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004760054,1007106,26 THOMPSON STREET,10013,Mixed-use,27,27,27,2.208,0.0818,2.208,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1002280005,1002957,365 CANAL STREET,10013,Mixed-use,6,6,6,0.491,0.0818,0.491,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004760088,1007116,38 GRAND STREET,10013,Mixed-use,16,16,16,1.308,0.0818,1.308,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004750013,1007064,497 BROOME STREET,10013,Commercial/office,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004890021,1007356,190 SPRING STREET,10012,Residential,2,2,2,0.093,0.0465,0.093,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004890028,1007361,75 THOMPSON STREET,10012,Mixed-use,22,22,22,1.028,0.0467,1.028,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1002280001,1002953,357 CANAL STREET,10013,Mixed-use,4,4,4,0.327,0.0818,0.327,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
