anchor_id,anchor_name,anchor_category,anchor_subcategory,address_or_intersection,latitude,longitude,zip_code,source_name,source_url,retrieval_date,confidence_level,relevance_to_under5,relevance_to_parent_caregiver,relevance_to_hgl,duplicate_of_school_layer,duplicate_of_competitor_layer,notes
OLD-1,Union Square Park,Community centers,Community centers,,40.7359,-73.9911,10003,Existing local family anchor data,local repo public/data/hgl_family_anchors.geojson,2026-06-11,Medium,Medium,Medium,Community family-program context where publicly listed.,False,False,Existing public-context anchor carried forward.
FA-V5-2-0002,SoHo,Museums / culture,attraction,,40.72288,-73.9987505,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/158809984,2026-06-11,Medium,Medium,Medium,Family education/culture context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0003,South Street Seaport Historic District,Parks / playgrounds,park,,40.7065114,-74.0033727,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/357607904,2026-06-11,Medium,High,High,Strong indicator of under-5 recreation and caregiver trips.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0004,Pumphouse Park,Parks / playgrounds,park,,40.7120735,-74.0161706,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/357608159,2026-06-11,Medium,High,High,Strong indicator of under-5 recreation and caregiver trips.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0005,Congregation Shaare Zedek,Community centers,place_of_worship,,40.718158,-74.0037507,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/357608326,2026-06-11,Medium,Medium,Medium,Community family-program context where publicly listed.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0006,Chatham Square,Parks / playgrounds,park,,40.7135058,-73.9985306,10038,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/357610563,2026-06-11,Medium,High,High,Strong indicator of under-5 recreation and caregiver trips.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0007,South Baptist Church,Community centers,place_of_worship,,40.7358333,-74.0025,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/357610803,2026-06-11,Medium,Medium,Medium,Community family-program context where publicly listed.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0008,People's Home Church,Community centers,place_of_worship,,40.7277027,-73.9802859,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/357610843,2026-06-11,Medium,Medium,Medium,Community family-program context where publicly listed.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0009,Lutheran Church In America,Community centers,place_of_worship,,40.7494444,-73.9819444,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/357610867,2026-06-11,Medium,Medium,Medium,Community family-program context where publicly listed.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0010,Sung Tak Buddhist Temple,Community centers,place_of_worship,,40.7135573,-73.9922768,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/357618499,2026-06-11,Medium,Medium,Medium,Community family-program context where publicly listed.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0011,Templo Adventists Del Septimo Dia,Community centers,place_of_worship,,40.7194182,-73.9921269,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/357618522,2026-06-11,Medium,Medium,Medium,Community family-program context where publicly listed.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0012,First Warsaw Congregation,Community centers,place_of_worship,,40.7205556,-73.9908334,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/357618525,2026-06-11,Medium,Medium,Medium,Community family-program context where publicly listed.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0013,Generoso Pope Catholic Center at New York University,Community centers,place_of_worship,,40.7299234,-73.9981687,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/357618570,2026-06-11,Medium,Medium,Medium,Community family-program context where publicly listed.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0014,Light of the World Church,Community centers,place_of_worship,,40.708708,-73.962201,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/357619117,2026-06-11,Medium,Medium,Medium,Community family-program context where publicly listed.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0015,Ryan/NENA Comprehensive Heath Service Center,Pediatric / health,clinic,279 East 3rd Street,40.7215695,-73.9800525,10009,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/357620336,2026-06-11,Medium,Medium,High,Family health errand context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0016,Salvation Army Centennial Memorial Temple,Community centers,place_of_worship,,40.7375,-73.9986111,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/357620380,2026-06-11,Medium,Medium,Medium,Community family-program context where publicly listed.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0017,Theodore Roosevelt Birthplace National Historic Site,Parks / playgrounds,park,,40.738617,-73.9890615,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/357620387,2026-06-11,Medium,High,High,Strong indicator of under-5 recreation and caregiver trips.,False,False,Public/commercial/community context signal; verify details before claims.
