ooh_asset_id,asset_name,asset_type,vendor_owner,operator_if_known,address_or_intersection,latitude,longitude,zipcode,media_format,static_or_digital,asset_status,availability_status,availability_confidence,source_name,source_url,retrieval_date,last_observed_date,pricing_status,exact_price_confirmed,impressions_status,exact_impressions_confirmed,family_anchor_proximity,preschool_school_proximity,transit_proximity,hgl_relevance_score,recommended_use,verification_needed,confidence_level,caveat
OOH001,18 Union Square E; 92 E 14th St; 145 4th Ave,LinkNYC,LinkNYC / Intersection,LinkNYC / Intersection,18 Union Square E; 92 E 14th St; 145 4th Ave,40.735187,-73.989871,10010/10003,LinkNYC digital kiosk cluster,Verify with vendor,Network bookable,Available network/self-service channel; exact unit/date/time/pricing require confirmation,High network availability; unit/date unconfirmed,SRC010,https://www.link.nyc/link-locations.html,2026-06-10,,Quote/vendor confirmation required,False,Vendor confirmation required,False,Union Square Park; 14th Street Y; HGL core area if address confirmed; family errands/transit,Verify locally,Verify locally,8.9,First-phase parent/caregiver awareness for multilingual early childhood education visit/enrollment funnel,"Confirm units, dates, dayparting, price, creative specs.",High,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase."
OOH002,"14 St-Union Square subway complex, Union Sq E / E 14th St",Subway / MTA,OUTFRONT / MTA,OUTFRONT / MTA,"14 St-Union Square subway complex, Union Sq E / E 14th St",40.735736,-73.990568,10003/10010,Subway station package / posters / urban panels,Verify with vendor,Potentially bookable,Potentially bookable; OUTFRONT RFP required,Medium; format exists but station/date unconfirmed,SRC005,https://www.mta.info/doing-business-with-us/advertising,2026-06-10,,Quote/vendor confirmation required,False,Vendor confirmation required,False,Union Square; 14th Street Y; HGL core area if address confirmed,Verify locally,Verify locally,8.9,Flagship awareness after digital test validates offer,"Confirm station inventory, dates, rates, impressions, creative restrictions.",Medium,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase."
OOH003,92 E 14th St / 145 4th Ave,LinkNYC,LinkNYC / Intersection,LinkNYC / Intersection,92 E 14th St / 145 4th Ave,40.734141,-73.989412,10003,LinkNYC digital kiosks,Verify with vendor,Network bookable,Available network/self-service channel; exact unit/date/time/pricing require confirmation,High network availability; unit/date unconfirmed,SRC010,https://www.link.nyc/link-locations.html,2026-06-10,,Quote/vendor confirmation required,False,Vendor confirmation required,False,Union Square east exits; 14th Street Y; HGL core area if address confirmed,Verify locally,Verify locally,8.7,Union Square east frequency for preschool visit / multilingual early learning CTA,Confirm exact screens and dates.,High,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase."
OOH004,"195 / 200 Hudson St, Hudson St and Desbrosses St",LinkNYC,LinkNYC / Intersection,LinkNYC / Intersection,"195 / 200 Hudson St, Hudson St and Desbrosses St",40.723118,-74.008139,10013,LinkNYC digital kiosks,Verify with vendor,Network bookable,Available network/self-service channel; exact unit/date/time/pricing require confirmation,High network availability; unit/date unconfirmed,SRC010,https://www.link.nyc/link-locations.html,2026-06-10,,Quote/vendor confirmation required,False,Vendor confirmation required,False,Pier 25; Washington Market Park; PS234; Hudson River Park routes,Verify locally,Verify locally,8.6,Tribeca parent/caregiver awareness for multilingual art-integrated preschool-style education,Confirm exact units/date and whether unit selection is possible.,High,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase."
OOH005,120/125/133/200/220 W 14th St,LinkNYC,LinkNYC / Intersection,LinkNYC / Intersection,120/125/133/200/220 W 14th St,40.737805,-73.998106,10011,LinkNYC digital kiosk cluster,Verify with vendor,Network bookable,Available network/self-service channel; exact unit/date/time/pricing require confirmation,High network availability; unit/date unconfirmed,SRC010,https://www.link.nyc/link-locations.html,2026-06-10,,Quote/vendor confirmation required,False,Vendor confirmation required,False,Chelsea W14 corridor; PS11/PS33; Chelsea Green,Verify locally,Verify locally,8.4,Chelsea expansion; preschool visit / camp-family engagement funnel,Confirm screens/dates/pricing.,High,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase."
OOH006,JCDecaux MN01025AB near E14 / Union Sq W,Bus shelters,JCDecaux,JCDecaux,JCDecaux MN01025AB near E14 / Union Sq W,40.7361,-73.9931,10003,Bus shelter panel,Verify with vendor,Potentially bookable,Potentially bookable/source-listed; exact availability/date/creative restrictions require vendor confirmation,Medium,SRC009,https://marketing.jcdecauxna.com/maps/nysf_map/nysf_map.html,2026-06-10,,Quote/vendor confirmation required,False,Vendor confirmation required,False,Union Square west/south; HGL core area if confirmed,Verify locally,Verify locally,8.3,Lower-cost Union Square reinforcement,"Confirm panel ID, exact address, availability, rate.",Medium,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase."
OOH007,JCDecaux MN0019AB near Chambers / West Broadway corridor,Bus shelters,JCDecaux,JCDecaux,JCDecaux MN0019AB near Chambers / West Broadway corridor,40.716403,-74.008661,10013,Bus shelter panel,Verify with vendor,Potentially bookable,Potentially bookable/source-listed; exact availability/date/creative restrictions require vendor confirmation,Medium,SRC009,https://marketing.jcdecauxna.com/maps/nysf_map/nysf_map.html,2026-06-10,,Quote/vendor confirmation required,False,Vendor confirmation required,False,Tribeca schools/parks; Chambers corridor,Verify locally,Verify locally,8.3,Tribeca street-furniture reinforcement,"Confirm panel ID, exact address, availability, rate.",Medium,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase."
OOH008,227 Church St,LinkNYC,LinkNYC / Intersection,LinkNYC / Intersection,227 Church St,40.716939,-74.006222,10013,LinkNYC digital kiosk,Verify with vendor,Network bookable,Available network/self-service channel; exact unit/date/time/pricing require confirmation,High network availability; unit/date unconfirmed,SRC010,https://www.link.nyc/link-locations.html,2026-06-10,,Quote/vendor confirmation required,False,Vendor confirmation required,False,PS234; Washington Market Park; parent/caregiver routes,Verify locally,Verify locally,8.3,Tribeca weekday route awareness,Confirm exact unit/date/pricing.,High,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase."
OOH009,278 Park Ave S / 1123 Broadway,LinkNYC,LinkNYC / Intersection,LinkNYC / Intersection,278 Park Ave S / 1123 Broadway,40.739464,-73.987052,10010,LinkNYC digital kiosks,Verify with vendor,Network bookable,Available network/self-service channel; exact unit/date/time/pricing require confirmation,High network availability; unit/date unconfirmed,SRC010,https://www.link.nyc/link-locations.html,2026-06-10,,Quote/vendor confirmation required,False,Vendor confirmation required,False,Flatiron; Madison Square; The École; PS40,Verify locally,Verify locally,8.1,Flatiron/Gramercy multilingual preschool awareness,Confirm units and dates.,High,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase."
OOH010,JCDecaux MN01251AB near W14 / 7th Ave,Bus shelters,JCDecaux,JCDecaux,JCDecaux MN01251AB near W14 / 7th Ave,40.73834,-73.99932,10011,Bus shelter panel,Verify with vendor,Potentially bookable,Potentially bookable/source-listed; exact availability/date/creative restrictions require vendor confirmation,Medium,SRC009,https://marketing.jcdecauxna.com/maps/nysf_map/nysf_map.html,2026-06-10,,Quote/vendor confirmation required,False,Vendor confirmation required,False,Chelsea W14; PS11/PS33; Chelsea Green,Verify locally,Verify locally,8.1,Chelsea shelter add-on,"Confirm panel ID, exact address, availability, rate.",Medium,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase."
OOH011,425 6th Ave,LinkNYC,LinkNYC / Intersection,LinkNYC / Intersection,425 6th Ave,40.734393,-73.999152,10014,LinkNYC digital kiosk,Verify with vendor,Network bookable,Available network/self-service channel; exact unit/date/time/pricing require confirmation,High network availability; unit/date unconfirmed,SRC010,https://www.link.nyc/link-locations.html,2026-06-10,,Quote/vendor confirmation required,False,Vendor confirmation required,False,Washington Square; PS3; PS41,Verify locally,Verify locally,8.0,Village parent/caregiver awareness,Confirm units/dates/pricing.,High,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase."
