address_or_intersection,asset_name,asset_status,asset_type,availability_confidence,availability_status,caveat,confidence_level,exact_impressions_confirmed,exact_price_confirmed,family_anchor_proximity,hgl_relevance_score,impressions_status,last_observed_date,media_format,ooh_asset_id,operator_if_known,preschool_school_proximity,pricing_status,recommended_use,retrieval_date,source_name,source_url,static_or_digital,transit_proximity,vendor_owner,verification_needed,zipcode,longitude,latitude
18 UNION SQUARE EAST,mn-05-123158,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0001,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.989871,40.735187
"14 St-Union Square subway complex, Union Sq E / E 14th St","14 St-Union Square subway complex, Union Sq E / E 14th St",Potentially bookable,Subway / MTA,Medium; format exists but station/date unconfirmed,Potentially bookable; OUTFRONT RFP required,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase.",Medium,False,False,Union Square; 14th Street Y; HGL core area if address confirmed,8.9,Vendor confirmation required,,Subway station package / posters / urban panels,OOH-V4-0002,OUTFRONT / MTA,Verify locally,Quote/vendor confirmation required,Flagship awareness after digital test validates offer,2026-06-10,SRC005,https://www.mta.info/doing-business-with-us/advertising,Verify with vendor,Verify locally,OUTFRONT / MTA,"Confirm station inventory, dates, rates, impressions, creative restrictions.",10003/10010,-73.990568,40.735736
92 EAST 14 STREET,mn-03-123149,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0003,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.989412,40.734141
195 HUDSON STREET,mn-01-137026,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0004,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-74.008139,40.723118
120 WEST 14 STREET,mn-02-123547,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0005,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.998106,40.737805
JCDecaux MN01025AB near E14 / Union Sq W,JCDecaux MN01025AB near E14 / Union Sq W,Potentially bookable,Bus shelters,Medium,Potentially bookable/source-listed; exact availability/date/creative restrictions require vendor confirmation,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase.",Medium,False,False,Union Square west/south; HGL core area if confirmed,8.3,Vendor confirmation required,,Bus shelter panel,OOH-V4-0006,JCDecaux,Verify locally,Quote/vendor confirmation required,Lower-cost Union Square reinforcement,2026-06-10,SRC009,https://marketing.jcdecauxna.com/maps/nysf_map/nysf_map.html,Verify with vendor,Verify locally,JCDecaux,"Confirm panel ID, exact address, availability, rate.",10003,-73.9931,40.7361
JCDecaux MN0019AB near Chambers / West Broadway corridor,JCDecaux MN0019AB near Chambers / West Broadway corridor,Potentially bookable,Bus shelters,Medium,Potentially bookable/source-listed; exact availability/date/creative restrictions require vendor confirmation,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase.",Medium,False,False,Tribeca schools/parks; Chambers corridor,8.3,Vendor confirmation required,,Bus shelter panel,OOH-V4-0007,JCDecaux,Verify locally,Quote/vendor confirmation required,Tribeca street-furniture reinforcement,2026-06-10,SRC009,https://marketing.jcdecauxna.com/maps/nysf_map/nysf_map.html,Verify with vendor,Verify locally,JCDecaux,"Confirm panel ID, exact address, availability, rate.",10013,-74.008661,40.716403
227 CHURCH STREET,mn-01-122911,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0008,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-74.006222,40.716939
278 PARK AVENUE SOUTH,mn-05-134089,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0009,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.987052,40.739464
JCDecaux MN01251AB near W14 / 7th Ave,JCDecaux MN01251AB near W14 / 7th Ave,Potentially bookable,Bus shelters,Medium,Potentially bookable/source-listed; exact availability/date/creative restrictions require vendor confirmation,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase.",Medium,False,False,Chelsea W14; PS11/PS33; Chelsea Green,8.1,Vendor confirmation required,,Bus shelter panel,OOH-V4-0010,JCDecaux,Verify locally,Quote/vendor confirmation required,Chelsea shelter add-on,2026-06-10,SRC009,https://marketing.jcdecauxna.com/maps/nysf_map/nysf_map.html,Verify with vendor,Verify locally,JCDecaux,"Confirm panel ID, exact address, availability, rate.",10011,-73.99932,40.73834
425 6 AVENUE,mn-02-120512,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0011,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.999152,40.734393
JCDecaux NS4152KI / MN0147AB around E23 / 2nd-3rd Ave,JCDecaux NS4152KI / MN0147AB around E23 / 2nd-3rd Ave,Potentially bookable,Bus shelters,Medium,Potentially bookable/source-listed; exact availability/date/creative restrictions require vendor confirmation,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase.",Medium,False,False,Gramercy; PS40; The École routes,7.8,Vendor confirmation required,,Digital newsstand / bus shelter,OOH-V4-0012,JCDecaux,Verify locally,Quote/vendor confirmation required,Gramercy add-on,2026-06-10,SRC009,https://marketing.jcdecauxna.com/maps/nysf_map/nysf_map.html,Verify with vendor,Verify locally,JCDecaux,"Confirm panel IDs, exact address, availability, rate.",10010,-73.982817,40.738797
1 ST. LUKE'S PLACE,mn-02-123600,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0013,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-74.006629,40.730258
55 3 AVENUE,mn-03-138508,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0014,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.988685,40.731015
JCDecaux MN0408AB Barrow / Hudson corridor,JCDecaux MN0408AB Barrow / Hudson corridor,Potentially bookable,Bus shelters,Medium,Potentially bookable/source-listed; exact availability/date/creative restrictions require vendor confirmation,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase.",Medium,False,False,West Village residential/park routes,7.7,Vendor confirmation required,,Bus shelter panel,OOH-V4-0015,JCDecaux,Verify locally,Quote/vendor confirmation required,West Village street-furniture supplement,2026-06-10,SRC009,https://marketing.jcdecauxna.com/maps/nysf_map/nysf_map.html,Verify with vendor,Verify locally,JCDecaux,"Confirm panel ID, exact address, availability, rate.",10014,-74.006537,40.73155
JCDecaux MN0040AB near 2nd Ave / E11-E12,JCDecaux MN0040AB near 2nd Ave / E11-E12,Potentially bookable,Bus shelters,Medium,Potentially bookable/source-listed; exact availability/date/creative restrictions require vendor confirmation,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase.",Medium,False,False,East Village residential/school routes,7.5,Vendor confirmation required,,Bus shelter panel,OOH-V4-0016,JCDecaux,Verify locally,Quote/vendor confirmation required,East Village supplement,2026-06-10,SRC009,https://marketing.jcdecauxna.com/maps/nysf_map/nysf_map.html,Verify with vendor,Verify locally,JCDecaux,"Confirm panel ID, exact address, availability, rate.",10003,-73.982311,40.731497
399 WEST BROADWAY,mn-02-133259,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0017,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-74.002022,40.724338
W4 St-Washington Sq station + 347/375/425 6th Ave LinkNYC,W4 St-Washington Sq station + 347/375/425 6th Ave LinkNYC,Candidate to verify,LinkNYC,Medium-Low mixed,Candidate to verify for station; LinkNYC network requires exact unit/date confirmation,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase.",Medium,False,False,Washington Square; PS3; PS41; NY Kids Club; POTA Greenwich Village,7.5,Vendor confirmation required,,Subway station ads + LinkNYC digital kiosks,OOH-V4-0018,OUTFRONT / LinkNYC,Verify locally,Quote/vendor confirmation required,Village test package after core Union Square/Tribeca,2026-06-10,SRC005,https://www.mta.info/doing-business-with-us/advertising,Verify with vendor,Verify locally,OUTFRONT / LinkNYC,"Confirm station inventory, LinkNYC units, date, price.",10014/10012,-74.000495,40.732338
JCDecaux MN0025AB Broadway / Prince-Houston corridor,JCDecaux MN0025AB Broadway / Prince-Houston corridor,Potentially bookable,Bus shelters,Medium,Potentially bookable/source-listed; exact availability/date/creative restrictions require vendor confirmation,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase.",Medium,False,False,SoHo/NoHo retail-adjacent corridor,7.4,Vendor confirmation required,,Bus shelter panel,OOH-V4-0019,JCDecaux,Verify locally,Quote/vendor confirmation required,Small SoHo test,2026-06-10,SRC009,https://marketing.jcdecauxna.com/maps/nysf_map/nysf_map.html,Verify with vendor,Verify locally,JCDecaux,"Confirm panel ID, exact address, availability, rate.",10012,-73.99813,40.72621
W13 between 9th Ave and Washington St,W13 between 9th Ave and Washington St,Candidate to verify,Wallscapes,Low-Medium,Candidate to verify only; no date-level availability confirmed,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase.",Low-Medium,False,False,Meatpacking / West Village / Chelsea cultural corridor; weaker direct early-childhood anchor fit,6.4,Vendor confirmation required,,Hand-painted wallscape / mural billboard,OOH-V4-0020,Angel Media,Verify locally,Quote/vendor confirmation required,Exploratory brand moment only after feasibility and budget check,2026-06-10,SRC011,https://www.newswire.com/news/angel-media-unveils-iconic-new-hand-painted-billboard-in-nyc-s-22574114,Verify with vendor,Verify locally,Angel Media,"Confirm inventory, rate, production timeline, restrictions.",10014/10011,-74.006,40.7407
444 2 AVENUE,mn-06-134831,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0021,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.979466,40.739647
